,ECO_Code,Opening,Moves
104,A34,"Rubinstein Variation, Symmetrical English",1. c4 c5 2. Nc3 Nf6 3. g3 d5 4. cxd5 Nxd5 5. Bg2 Nc7
105,A34,"Asymmetrical Variation, English",1. c4 c5 2. Nc3 Nf6 3. Nf3 d5 4. cxd5 Nxd5
106,A34,"Keres-Parma System, English",1. c4 c5 2. Nc3 Nf6 3. Nf3 e6 4. g3 Nc6
107,A34,"Four Knights Variation, Symmetrical English",1. c4 c5 2. Nc3 Nf6 3. Nf3 Nf6
108,A30,"Napolitano Gambit, Symmetrical English",1. c4 c5 2. Nf3 Nf6 3. b4
109,A31,"Anti-Benoni Variation, Symmetrical English; A31",1. c4 c5 2. Nf3 Nf6 3. d4
110,A31,"Two Knights Variation, English",1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4
111,A32,"Spielmann Defense, Symmetrical English; A32",1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6
112,A33,A33,1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6 5. Nc3 Nc6
113,A33,"Geller Variation, Symmetrical English",1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6 5. Nc3 Nc6 6. g3 Qb6
114,A30,"Hedgehog Variation, Symmetrical English",1. c4 c5 2. Nf3 Nf6 3. g3 b6 4. Bg2 Bb7 5. O-O e6 6. Nc3 Be7
115,A30,"Double Fianchetto Defense, English",1. c4 c5 2. Nf3 Nf6 3. g3 b6 4. Bg2 Bb7 5. O-O g6
116,A11,"Anglo-Slav, English; A11",1. c4 c6
117,A12,A12,1. c4 c6 2. Nf3 d5 3. b3
118,A12,"Bled Variation, English",1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. g3 g6
119,A10,"Anglo Scandanavian Defense, English",1. c4 d5
120,A10,"Loehn Gambit, English",1. c4 d5 2. cxd5 e6
121,A10,"Schulz Gambit, English",1. c4 d5 2. cxd5 Nf6
122,A10,"Malvinas Variation, English",1. c4 d5 2. cxd5 Qxd5 3. Nc3 Qa5
123,A20,King’s English; A20,1. c4 e5
124,A20,"Kahiko-Hula Gambit, English",1. c4 e5 2. e3 Nf6 3. f4 exf4 4. Nf3
125,A20,"Double Whammy, English",1. c4 e5 2. f4
126,A20,"Drill Variation, English",1. c4 e5 2. g3 h5
127,A21,"Reversed Sicilian, English; A21",1. c4 e5 2. Nc3
128,A21,"Kramnik-Shirov Variation, English",1. c4 e5 2. Nc3 Bb4
129,A21,"Troger Variation, English",1. c4 e5 2. Nc3 d6 3. g3 Be6 4. Bg2 Nc6
130,A21,"Keres Defense, English",1. c4 e5 2. Nc3 d6 3. g3 c6
131,A21,"General Variation, King’s English",1. c4 e5 2. Nc3 d6 3. Nf3
132,A21,"Smyslov Variation, English",1. c4 e5 2. Nc3 d6 3. Nf3 Bg4
133,A21,Anglo-Dutch,1. c4 e5 2. Nc3 f5
134,A25,"Reversed Closed Sicilian, English; A25",1. c4 e5 2. Nc3 Nc6
135,A25,"Troger Variation, English",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Be6
136,A25,"Taimanov Variation, English",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7
137,A25,"Hungarian Attack, English",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Rb1
138,A26,"Closed System, King’s English; A26",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3
139,A25,"Closed System, Full Symmetry, King’s English",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6
140,A25,"Botvinnik System, King’s English",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. e4
141,A25,"Bremen-Hort Variation, English",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 d6 6. Nge2 Be6
142,A25,"Botvinnik Variation, English",1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e4
143,A27,"Three Knights System, English; A27",1. c4 e5 2. Nc3 Nc6 3. Nf3
144,A28,"Four Knights Variation, English; A28",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6
145,A28,"Korchnoi Line, English",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. a3
146,A28,"Flexible Line, English",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. d3
147,A28,"Bradley Beach Variation, English",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. d4 e4
148,A28,"Four Knights Variation, English",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. d4 exd4 5. Nxd4Bb4 Bg5 6. h6 Bh4 7. Bxc3+ bxc3 8. Ne5
149,A28,"Quiet Line, English",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. e3
150,A28,"Romanishin Variation, English",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. e3 Bb4 5. Qc2 Bxc3
151,A28,"Keene; Stean Variation, English",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. e3 Bb4 5. Qc2 O-O 6. Nd5 Re8 7. Qf5
152,A28,"Botvinnik Line, English",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. e4
153,A29,"Fianchetto Line, Four Knights English; A29",1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. g3
154,A22,"Two Knights Variation, English; A22",1. c4 e5 2. Nc3 Nf6
155,A22,"Mazedonisch Variation, English",1. c4 e5 2. Nc3 Nf6 3. f4
156,A22,"Bremen; Carls Variation, English",1. c4 e5 2. Nc3 Nf6 3. g3
157,A22,"Kapengut; Smyslov; Modern V, English",1. c4 e5 2. Nc3 Nf6 3. g3 Bb4
158,A23,"Keres Variation, English; A23",1. c4 e5 2. Nc3 Nf6 3. g3 c6
159,A23,"Reversed Dragon, English",1. c4 e5 2. Nc3 Nf6 3. g3 d5
160,A24,"Fianchetto Lines, Two Knights Variation, English; A24",1. c4 e5 2. Nc3 Nf6 3. g3 g6
161,A24,"Prickly Pawn Pass System, English",1. c4 e5 2. Nc3 Nf6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. e4 O-O 7. Nge2 c6 8. O-O a6
162,A22,"Bellon Gambit, English",1. c4 e5 2. Nc3 Nf6 3. Nf3 e4 4. Ng5 b5
163,A22,"Erbenheimer Gambit, English",1. c4 e5 2. Nc3 Nf6 3. Nf3 e4 4. Ng5 Ng4
164,A20,"Nimzovich Variation, English",1. c4 e5 2. Nf3
165,A20,"Nimzovich-Flohr Variation, English",1. c4 e5 2. Nf3 e4
166,A20,English Queen,1. c4 e5 2. Qa4
167,A13,"Agincourt; Kurajica Defense, English; A13",1. c4 e6
168,A13,English Defense,1. c4 e6 2. d4 b6
169,A13,"King’s Knight Variation, English",1. c4 e6 2. Nf3 d5
170,A13,"Wimpy System, English",1. c4 e6 2. Nf3 d5 3. b3 Nf6 4. Bb2 c5 5. e3
171,A13,"Afincourt Variation, English",1. c4 e6 2. Nf3 d5 3. g3
172,A13,"Kurajica Defense, English",1. c4 e6 2. Nf3 d5 3. g3 c6
173,A13,"Neo Catalan, English",1. c4 e6 2. Nf3 d5 3. g3 Nf6
174,A14,A14,1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7
175,A14,"Neo Catalan Declined, English",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O
176,A14,"Keres Defense, English",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O c5 6. cxd5 Nxd5 7. Nc3 Nc6
177,A13,"Neo Catalan Accepted, English",1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 dxc4
178,A13,"Romanishin Gambit, English",1. c4 e6 2. Nf3 Nf6 3. g3 a6 4. Bg2 b5
179,A10,Anglo-Dutch Defense,1. c4 f5
180,A10,Anglo-Polish Dutch,1. c4 f5 2. b4
181,A10,"Hickmann Gambit, English",1. c4 f5 2. e4
182,A10,"Hickmann Gambit, English",1. c4 f5 2. e4 fxe4 3. d3
183,A10,"Porcupine Variation, English",1. c4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4
184,A10,"Wade Gambit, English",1. c4 f5 2. g4
185,A10,English Spike,1. c4 f5 2. g4
186,A10,"Chabanon Gambit, English",1. c4 f5 2. Nf3 d6 3. e4
187,A10,"Myers Defense, English",1. c4 g5 2. d4 Bg7
188,A10,"Zilbermints Gambit, English",1. c4 g5 2. d4 e5
189,A10,"Great Snake, English",1. c4 g6
190,A10,"Adorjan System, English",1. c4 g6 2. e4 e5
191,A10,Beefeater,1. c4 g6 2. Nc3 Bg7 3. d4 c5 4. d5 Bxc3 5. bxc3 f5
192,A10,"Anglo-Lithuanian Variation, English",1. c4 Nc6
193,A15,"Anglo System, English; A15",1. c4 Nf6
194,A15,"Mikenas-Carls Variation, English",1. c4 Nf6
195,A15,English Orangutan,1. c4 Nf6 2. b4
196,A15,Shirazi Shove,1. c4 Nf6 2. g3 h5
197,A16,A16,1. c4 Nf6 2. Nc3
198,A16,"Golombek Defense, English; Anti English",1. c4 Nf6 2. Nc3 d5
199,A16,"Czech Variation, English",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. g3 g6 5. Bg2 Nb6
200,A17,"Smyslov Defense, English",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. g3 g6 5. Bg2 Nxc3
201,A16,"Korchnoi’s Variation, English",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. Nf3 g6 5. g3 Bg7 6. Bg2 e5
202,A16,"Stein Attack, English",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. Nf3 g6 5. Qa4+
203,A17,"Hegehog System, Anglo-Indian English; A17",1. c4 Nf6 2. Nc3 e6
204,A18,"Flohr-Mikenas-Carls Variation, English; A18",1. c4 Nf6 2. Nc3 e6 3. e4
205,A19,"Floh-Mikenas-Carls Variation, English; A19",1. c4 Nf6 2. Nc3 e6 3. e4 c5
206,A19,"Nei Gambit, English",1. c4 Nf6 2. Nc3 e6 3. e4 c5 4. e5 Ng8
207,A18,"Kevitz Defense, English",1. c4 Nf6 2. Nc3 e6 3. e4 Nc6
208,A18,"Queen’s Indian Formation, English",1. c4 Nf6 2. Nc3 e6 3. Nf3 b6
209,A17,Nimzo-English Opening,1. c4 Nf6 2. Nc3 e6 3. Nf3 Bb4
210,A17,"Zviagintsev-Krasenkov Attack, English",1. c4 Nf6 2. Nc3 e6 3. Nf3 Bb4 4. g4
211,A16,Anti-anti-grunfeld,1. c4 Nf6 2. Nc3 g6 3. Nf3 Bg7 4. e4
212,A15,"King’s Knight Variation, English",1. c4 Nf6 2. Nf3
213,A15,"Romanishin Variation, English",1. c4 Nf6 2. Nf3 e6 3. g3 a6
214,A40,Queen Pawn Opening; A40,1. d4
215,A40,St George’s Gambit,1. d4 a6 2. c4 b5 3. e4 e6 4. cxb5 axb5
216,A40,Polish Defense,1. d4 b5
217,A40,"Spassky Gambit, Polish Defense",1. d4 b5 2. e4 Bb7 3. Bxb5
218,A40,"Queen Fianchetto, Queen Pawn Game",1. d4 b6
219,A40,Eastbourne Gambit,1. d4 b6 2. c4 Bb7 3. Bxb5
220,A43,Staunton Defense; Benoni C-G; A43,1. d4 c5
221,A43,"Zilbermints Gambit; Nakamura Gambit, Benoni",1. d4 c5 2. b4 cxb4
222,A43,Old Benoni,1. d4 c5 2. d5 d6
223,A43,"Schmid Variation, Benoni",1. d4 c5 2. d5 d6 3. Nc3 g6
224,A44,"Pawn Thrust, Benoni; A44",1. d4 c5 2. d5 e5
225,A44,Blockade Variation; Semi-Benoni; Russian Variation,1. d4 c5 2. d5 e5 3. e4 d6
226,A43,Franco-Benoni; Franco-Sicilian,1. d4 c5 2. d5 e6 3. e4
227,A43,"Clarendon Court Variation, Benoni",1. d4 c5 2. d5 f5
228,A43,Benoni-Staunton Gambit,1. d4 c5 2. d5 f5 3. e4
229,A43,"Snail Variation, Benoni",1. d4 c5 2. d5 Na6
230,A43,Benoni-Indian Defense,1. d4 c5 2. d5 Nf6
231,A56,"Vulture Defense, Benoni",1. d4 c5 2. d5 Nf6 3. c4 Ne4
232,A43,"Woozle Defense, Benoni",1. d4 c5 2. d5 Nf6 3. Nc3 Qa5
233,A43,"Kingside move order, Benoni",1. d4 c5 2. d5 Nf6 3. Nf3
234,A43,"Habichd; Hawk Variation, Benoni",1. d4 c5 2. d5 Nf6 3. Nf3 c4
235,A43,"Hawk Variation, Benoni",1. d4 c5 2. d5 Nf6 3. Nf3 e4
236,A43,Benoni Gambit Accepted,1. d4 c5 2. dxc5
237,A43,"Cormorant Gambit, Benoni",1. d4 c5 2. dxc5 b6
238,A43,"Schlenker Defense, Benoni",1. d4 c5 2. dxc5 Na6
239,A43,Zilbermints-Benoni Gambit,1. d4 c5 2. Nf3 cxd4 3. b4
240,A43,"Tamarkin Countergambit, Benoni",1. d4 c5 2. Nf3 cxd4 3. b4 e5
241,A41,Anglo-Slav Opening,1. d4 c6 2. c4 d6
242,D00,Queen Pawn Game; Close Opening; D00,1. d4 d5
243,D00,Sarratt Attack,1. d4 d5 2. Bf4
244,D00,"Steinitz Countergambit, Queen Pawn Game",1. d4 d5 2. Bf4 c5
245,D00,Morris Gambit,1. d4 d5 2. Bf4 c5 3. e4
246,D00,Morris Counter-Gambit,1. d4 d5 2. Bf4 c5 3. e4 dxe4
247,D00,"Bishop Attack; Levitsky Attack, Queen Pawn Game",1. d4 d5 2. Bg5
248,D00,Zot,1. d4 d5 2. Bg5
249,D00,"Welling Variation, Queen Pawn Game",1. d4 d5 2. Bg5 Bg4
250,D00,"Euwe Variation, Queen Pawn Game",1. d4 d5 2. Bg5 h6 3. Bh4 c6 4. Nf3 Qb6
251,D06,Queen’s Gambit; Aleppo Gambit; D06,1. d4 d5 2. c4
252,D06,"Zilbermints Gambit, QGD",1. d4 d5 2. c4 b5
253,D06,"Brieger Defense; Sahovic Defense, QGD; Baltic Defense",1. d4 d5 2. c4 Bf5
254,D31,"Baltic Defense, QGD",1. d4 d5 2. c4 Bf5 3. cxd5 Bxb1 4. Qa4+ c6 5. dxc6 Nxc6
255,D31,"Argentinian Gambit, QGD",1. d4 d5 2. c4 Bf5 3. cxd5 Bxb1 4. Qa4+ c6 5. dxc6 Nxc6 6. Rxb1 Qxd4
256,D06,"Pseudo-Slav, QGD",1. d4 d5 2. c4 Bf5 3. Nc3 e6 4. Nf3 c6
257,D06,"Pseudo-Chigorin, QGD",1. d4 d5 2. c4 Bf5 3. Nc3 e6 4. Nf3 Nc6
258,D06,"Queen Attack, Baltic Defens, QGD",1. d4 d5 2. c4 Bf5 3. Nc3 e6 4. Qb3
259,D06,"Austrian Defense; Summetrical Defense, QGD",1. d4 d5 2. c4 c5
260,D06,"Gusev Countergambit, QGD",1. d4 d5 2. c4 c5 3. cxd5 Nf6
261,D06,"Haberditz Variation, QGD",1. d4 d5 2. c4 c5 3. cxd5 Nf6 4. e4 Nxe4 5. dxc5 Qa5+
262,D06,"Salvio Countergambit, QGD",1. d4 d5 2. c4 c5 3. dxc5 d4
263,D10,"Slav Defense; Czech Defense, QGD; D10",1. d4 d5 2. c4 c6
264,D10,"Exchange Variation, Slav",1. d4 d5 2. c4 c6 3. cxd5
265,D10,Slav Pawn Game,1. d4 d5 2. c4 c6 3. e3
266,D10,"Diemer Gambit, Slav",1. d4 d5 2. c4 c6 3. e4
267,D10,"Alekhine Attack, Slav",1. d4 d5 2. c4 c6 3. Nc3 dxc4 4. e4
268,D10,"Winawer Counter Gambit, Slav",1. d4 d5 2. c4 c6 3. Nc3 e5
269,D10,"Anti-Winawer Gambit, Slav",1. d4 d5 2. c4 c6 3. Nc3 e5 4. e4
270,D11,"Modern Line, Slav; D11",1. d4 d5 2. c4 c6 3. Nf3
271,D11,Slav Bishop’s Game,1. d4 d5 2. c4 c6 3. Nf3 Bf5
272,D11,"Bonet Gambit, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Bg5
273,D13,"Exchange Variation, Slav; D13",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. cxd5
274,D14,"Symmetrical Line, Slav; D14",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. cxd5 cxd5 5. Nc3 Nc6 6. Bf4 Bf5
275,D14,"Trifunovic Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. cxd5 cxd5 5. Nc3 Nc6 6. Bf4 Bf5 7. e3 e6 8. Qb3 Bb4
276,D11,"Quiet Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3
277,D12,"Schallopp Defense, Slav; D12",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 Bf5
278,D12,"Amsterdam Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 Bf5 5. cxd5 cxd5 6. Nc3
279,D12,"Rotterdam Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 Bf5 5. cxd5 cxd5 6. Qb3
280,D12,"Landau Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 Bf5 5. cxd5 cxd5 6. Qb3 Qc8 7. Bd2 e6 8. Na3
281,D12,"Pin Defense, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 Bg4
282,D11,"Breyer Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nbd2
283,D15,"Three Knights Variation, Slav; D15",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3
284,D15,"Chameleon Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 a6
285,D15,"Advance System, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 c5
286,D15,"Two Knights Attack, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4
287,D16,"Alapin Variation, Slav; D16",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4
288,D17,Czech Defense; Open Slav Defense; D17,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5
289,D18,"Dutch Variation, Slav; D18",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. e3
290,D19,"Main Line, Czech Variation, Slav; D19",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. e3 e6 7. Bxc4 Bb4 8. O-O O-O 9. Qe2
291,D18,"Mareschall Variation, Slav; Lasker Variation",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. e3 Na6
292,D17,"Krause Attack, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. Ne5
293,D17,"Wiesbaden Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. Ne5 e6
294,D17,"Sharp Line, Wiesbaden Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. Ne5 e6 7. f3 Bb4 8. e4
295,D17,"Fazekas Gambit, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. Ne5 Na6 7. e4
296,D17,"Carlsbad Variation, Slav",1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. Ne5 Nbd7 7. Nxc4 Qc7 8. g3 e5
